# Charging stations from OpenStreetMap, bbox -34.15,150.6,-33.55,151.35. Chargers and power are OSM tags; price is the --price assumption. Generated by tools/fetch_real_network.py.
id,name,has_station,price_per_kwh,chargers,power_kw,latitude,longitude,osm_id,operator,merged_from
221,Exploren #15,1,0.55,2,22.0,-33.89754,151.12321,node/14028035884,Exploren,1
222,EVlink #4,1,0.55,1,22.0,-33.73874,151.30422,node/14044903688,,1
223,Chargefox #22,1,0.55,4,22.0,-33.92260,151.16461,node/14067768887,Chargefox,1
224,EV charging,1,0.55,1,22.0,-33.88631,151.23806,node/14071459701,,1
225,Chargefox #23,1,0.55,1,22.0,-33.89154,151.13372,node/14074238901,Chargefox,1
226,EVX #5,1,0.55,2,22.0,-33.88706,151.12193,node/14091624304,EVX,1
227,Site 0-0,0,0.00,0,0.0,-34.04365,150.66955,,,1
228,Site 0-2,0,0.00,0,0.0,-34.04365,150.90610,,,1
229,Site 0-5,0,0.00,0,0.0,-34.04365,151.26092,,,1
230,Site 1-0,0,0.00,0,0.0,-33.96245,150.66955,,,1
231,Site 2-0,0,0.00,0,0.0,-33.88126,150.66955,,,1
232,Site 2-1,0,0.00,0,0.0,-33.88126,150.78782,,,1
233,Site 4-4,0,0.00,0,0.0,-33.71886,151.14264,,,1
234,Site 5-0,0,0.00,0,0.0,-33.63766,150.66955,,,1
235,Site 5-1,0,0.00,0,0.0,-33.63766,150.78782,,,1
236,Site 5-2,0,0.00,0,0.0,-33.63766,150.90610,,,1
237,Site 5-3,0,0.00,0,0.0,-33.63766,151.02437,,,1
